han,name,hex,dec
丂,,4E02,19970
丄,,4E04,19972
丅,,4E05,19973
丆,,4E06,19974
丏,,4E0F,19983
丒,,4E12,19986
丗,,4E17,19991
丟,,4E1F,19999
丠,,4E20,20000
両,,4E21,20001
丣,,4E23,20003
並,,4E26,20006
丩,,4E29,20009
丮,,4E2E,20014
丯,,4E2F,20015
丱,,4E31,20017
丳,,4E33,20019
丵,,4E35,20021
丷,,4E37,20023
丼,,4E3C,20028
乀,,4E40,20032
乁,,4E41,20033
乂,,4E42,20034
乄,,4E44,20036
乆,,4E46,20038
乊,,4E4A,20042
乑,,4E51,20049
乕,,4E55,20053
乗,,4E57,20055
乚,,4E5A,20058
乛,,4E5B,20059
乢,,4E62,20066
乣,,4E63,20067
乤,,4E64,20068
乥,,4E65,20069
乧,,4E67,20071
乨,,4E68,20072
乪,,4E6A,20074
乫,,4E6B,20075
乬,,4E6C,20076
乭,,4E6D,20077
乮,,4E6E,20078
乯,,4E6F,20079
乲,,4E72,20082
乴,,4E74,20084
乵,,4E75,20085
乶,,4E76,20086
乷,,4E77,20087
乸,,4E78,20088
乹,,4E79,20089
乺,,4E7A,20090
乻,,4E7B,20091
乼,,4E7C,20092
乽,,4E7D,20093
乿,,4E7F,20095
亀,,4E80,20096
亁,,4E81,20097
亂,,4E82,20098
亃,,4E83,20099
亄,,4E84,20100
亅,,4E85,20101
亇,,4E87,20103
亊,,4E8A,20106
亐,,4E90,20112
亖,,4E96,20118
亗,,4E97,20119
亙,,4E99,20121
亜,,4E9C,20124
亝,,4E9D,20125
亞,,4E9E,20126
亣,,4EA3,20131
亪,,4EAA,20138
亯,,4EAF,20143
亰,,4EB0,20144
亱,,4EB1,20145
亴,,4EB4,20148
亶,,4EB6,20150
亷,,4EB7,20151
亸,,4EB8,20152
亹,,4EB9,20153
亼,,4EBC,20156
亽,,4EBD,20157
亾,,4EBE,20158
仈,,4EC8,20168
仌,,4ECC,20172
仏,,4ECF,20175
仐,,4ED0,20176
仒,,4ED2,20178
仚,,4EDA,20186
仛,,4EDB,20187
仜,,4EDC,20188
仠,,4EE0,20192
仢,,4EE2,20194
仦,,4EE6,20198
仧,,4EE7,20199
仩,,4EE9,20201
仭,,4EED,20205
仮,,4EEE,20206
仯,,4EEF,20207
仱,,4EF1,20209
仴,,4EF4,20212
仸,,4EF8,20216
仹,,4EF9,20217
仺,,4EFA,20218
仼,,4EFC,20220
仾,,4EFE,20222
伀,,4F00,20224
伂,,4F02,20226
伃,,4F03,20227
伄,,4F04,20228
伅,,4F05,20229
伆,,4F06,20230
伇,,4F07,20231
伈,,4F08,20232
伋,,4F0B,20235
伌,,4F0C,20236
伒,,4F12,20242
伓,,4F13,20243
伔,,4F14,20244
伕,,4F15,20245
伖,,4F16,20246
伜,,4F1C,20252
伝,,4F1D,20253
伡,,4F21,20257
伣,,4F23,20259
伨,,4F28,20264
伩,,4F29,20265
伬,,4F2C,20268
伭,,4F2D,20269
伮,,4F2E,20270
伱,,4F31,20273
伳,,4F33,20275
伵,,4F35,20277
伷,,4F37,20279
伹,,4F39,20281
伻,,4F3B,20283
伾,,4F3E,20286
伿,,4F3F,20287
佀,,4F40,20288
佁,,4F41,20289
佂,,4F42,20290
佄,,4F44,20292
佅,,4F45,20293
佇,,4F47,20295
佈,,4F48,20296
佉,,4F49,20297
佊,,4F4A,20298
佋,,4F4B,20299
佌,,4F4C,20300
佒,,4F52,20306
佔,,4F54,20308
佖,,4F56,20310
佡,,4F61,20321
佢,,4F62,20322
佦,,4F66,20326
佨,,4F68,20328
佪,,4F6A,20330
佫,,4F6B,20331
佭,,4F6D,20333
佮,,4F6E,20334
佱,,4F71,20337
佲,,4F72,20338
併,,4F75,20341
佷,,4F77,20343
佸,,4F78,20344
佹,,4F79,20345
佺,,4F7A,20346
佽,,4F7D,20349
侀,,4F80,20352
侁,,4F81,20353
侂,,4F82,20354
侅,,4F85,20357
來,,4F86,20358
侇,,4F87,20359
侊,,4F8A,20362
侌,,4F8C,20364
侎,,4F8E,20366
侐,,4F90,20368
侒,,4F92,20370
侓,,4F93,20371
侕,,4F95,20373
侖,,4F96,20374
侘,,4F98,20376
侙,,4F99,20377
侚,,4F9A,20378
侜,,4F9C,20380
侞,,4F9E,20382
侟,,4F9F,20383
価,,4FA1,20385
侢,,4FA2,20386
侤,,4FA4,20388
侫,,4FAB,20395
侭,,4FAD,20397
侰,,4FB0,20400
侱,,4FB1,20401
侲,,4FB2,20402
侳,,4FB3,20403
侴,,4FB4,20404
侶,,4FB6,20406
侷,,4FB7,20407
侸,,4FB8,20408
侹,,4FB9,20409
侺,,4FBA,20410
侻,,4FBB,20411
侼,,4FBC,20412
侽,,4FBD,20413
侾,,4FBE,20414
俀,,4FC0,20416
俁,,4FC1,20417
係,,4FC2,20418
俆,,4FC6,20422
俇,,4FC7,20423
俈,,4FC8,20424
俉,,4FC9,20425
俋,,4FCB,20427
俌,,4FCC,20428
俍,,4FCD,20429
俒,,4FD2,20434
俓,,4FD3,20435
俔,,4FD4,20436
俕,,4FD5,20437
俖,,4FD6,20438
俙,,4FD9,20441
俛,,4FDB,20443
俠,,4FE0,20448
俢,,4FE2,20450
俤,,4FE4,20452
俥,,4FE5,20453
俧,,4FE7,20455
俫,,4FEB,20459
俬,,4FEC,20460
俰,,4FF0,20464
俲,,4FF2,20466
俴,,4FF4,20468
俵,,4FF5,20469
俶,,4FF6,20470
