han,hex,dec
一,4E00,19968
丁,4E01,19969
七,4E03,19971
丄,4E04,19972
丅,4E05,19973
万,4E07,19975
丈,4E08,19976
三,4E09,19977
上,4E0A,19978
下,4E0B,19979
丌,4E0C,19980
不,4E0D,19981
与,4E0E,19982
丐,4E10,19984
丑,4E11,19985
专,4E13,19987
且,4E14,19988
丕,4E15,19989
世,4E16,19990
丗,4E17,19991
丘,4E18,19992
丙,4E19,19993
业,4E1A,19994
丛,4E1B,19995
东,4E1C,19996
丝,4E1D,19997
丞,4E1E,19998
両,4E21,20001
丢,4E22,20002
两,4E24,20004
严,4E25,20005
丧,4E27,20007
丨,4E28,20008
个,4E2A,20010
丫,4E2B,20011
丬,4E2C,20012
中,4E2D,20013
丰,4E30,20016
串,4E32,20018
临,4E34,20020
丶,4E36,20022
丸,4E38,20024
丹,4E39,20025
为,4E3A,20026
主,4E3B,20027
丽,4E3D,20029
举,4E3E,20030
丿,4E3F,20031
乃,4E43,20035
久,4E45,20037
乇,4E47,20039
么,4E48,20040
义,4E49,20041
之,4E4B,20043
乌,4E4C,20044
乍,4E4D,20045
乎,4E4E,20046
乏,4E4F,20047
乐,4E50,20048
乒,4E52,20050
乓,4E53,20051
乔,4E54,20052
乖,4E56,20054
乘,4E58,20056
乙,4E59,20057
乜,4E5C,20060
九,4E5D,20061
乞,4E5E,20062
也,4E5F,20063
习,4E60,20064
乡,4E61,20065
书,4E66,20070
乩,4E69,20073
买,4E70,20080
乱,4E71,20081
乳,4E73,20083
乾,4E7E,20094
亂,4E82,20098
了,4E86,20102
予,4E88,20104
争,4E89,20105
事,4E8B,20107
二,4E8C,20108
亍,4E8D,20109
于,4E8E,20110
亏,4E8F,20111
云,4E91,20113
互,4E92,20114
亓,4E93,20115
五,4E94,20116
井,4E95,20117
亘,4E98,20120
亚,4E9A,20122
些,4E9B,20123
亜,4E9C,20124
亞,4E9E,20126
亟,4E9F,20127
亠,4EA0,20128
亡,4EA1,20129
亢,4EA2,20130
交,4EA4,20132
亥,4EA5,20133
亦,4EA6,20134
产,4EA7,20135
亨,4EA8,20136
亩,4EA9,20137
享,4EAB,20139
京,4EAC,20140
亭,4EAD,20141
亮,4EAE,20142
亲,4EB2,20146
亳,4EB3,20147
亵,4EB5,20149
人,4EBA,20154
亻,4EBB,20155
亿,4EBF,20159
什,4EC0,20160
仁,4EC1,20161
仂,4EC2,20162
仃,4EC3,20163
仄,4EC4,20164
仅,4EC5,20165
仆,4EC6,20166
仇,4EC7,20167
仉,4EC9,20169
今,4ECA,20170
介,4ECB,20171
仍,4ECD,20173
从,4ECE,20174
仏,4ECF,20175
仑,4ED1,20177
仓,4ED3,20179
仔,4ED4,20180
仕,4ED5,20181
他,4ED6,20182
仗,4ED7,20183
付,4ED8,20184
仙,4ED9,20185
仝,4EDD,20189
仞,4EDE,20190
仟,4EDF,20191
仡,4EE1,20193
代,4EE3,20195
令,4EE4,20196
以,4EE5,20197
仨,4EE8,20200
仩,4EE9,20201
仪,4EEA,20202
仫,4EEB,20203
们,4EEC,20204
仰,4EF0,20208
仲,4EF2,20210
仳,4EF3,20211
仵,4EF5,20213
件,4EF6,20214
价,4EF7,20215
任,4EFB,20219
份,4EFD,20221
仿,4EFF,20223
企,4F01,20225
伈,4F08,20232
伉,4F09,20233
伊,4F0A,20234
伍,4F0D,20237
伎,4F0E,20238
伏,4F0F,20239
伐,4F10,20240
休,4F11,20241
众,4F17,20247
优,4F18,20248
伙,4F19,20249
会,4F1A,20250
伛,4F1B,20251
伝,4F1D,20253
伞,4F1E,20254
伟,4F1F,20255
传,4F20,20256
伢,4F22,20258
伤,4F24,20260
伥,4F25,20261
伦,4F26,20262
伧,4F27,20263
伪,4F2A,20266
伫,4F2B,20267
伯,4F2F,20271
估,4F30,20272
伱,4F31,20273
伲,4F32,20274
伴,4F34,20276
伶,4F36,20278
伸,4F38,20280
伺,4F3A,20282
似,4F3C,20284
伽,4F3D,20285
佃,4F43,20291
但,4F46,20294
佇,4F47,20295
位,4F4D,20301
低,4F4E,20302
住,4F4F,20303
佐,4F50,20304
佑,4F51,20305
体,4F53,20307
何,4F55,20309
佗,4F57,20311
佘,4F58,20312
余,4F59,20313
佚,4F5A,20314
佛,4F5B,20315
作,4F5C,20316
佝,4F5D,20317
佞,4F5E,20318
佟,4F5F,20319
你,4F60,20320
佢,4F62,20322
佣,4F63,20323
佤,4F64,20324
佥,4F65,20325
佧,4F67,20327
佩,4F69,20329
佬,4F6C,20332
佯,4F6F,20335
佰,4F70,20336
佳,4F73,20339
佴,4F74,20340
佶,4F76,20342
佷,4F77,20343
佻,4F7B,20347
佼,4F7C,20348
佾,4F7E,20350
使,4F7F,20351
侃,4F83,20355
侄,4F84,20356
來,4F86,20358
侈,4F88,20360
侉,4F89,20361
例,4F8B,20363
侍,4F8D,20365
侏,4F8F,20367
侑,4F91,20369
侔,4F94,20372
侖,4F96,20374
侗,4F97,20375
供,4F9B,20379
依,4F9D,20381
侠,4FA0,20384
侣,4FA3,20387
侥,4FA5,20389
侦,4FA6,20390
侧,4FA7,20391
侨,4FA8,20392
侩,4FA9,20393
侪,4FAA,20394
侬,4FAC,20396
侮,4FAE,20398
侯,4FAF,20399
侵,4FB5,20405
便,4FBF,20415
促,4FC3,20419
俄,4FC4,20420
俅,4FC5,20421
俊,4FCA,20426
俎,4FCE,20430
俏,4FCF,20431
俐,4FD0,20432
俑,4FD1,20433
俗,4FD7,20439
俘,4FD8,20440
俚,4FDA,20442
俜,4FDC,20444
保,4FDD,20445
俞,4FDE,20446
俟,4FDF,20447
俠,4FE0,20448
信,4FE1,20449
俣,4FE3,20451
俦,4FE6,20454
俨,4FE8,20456
俩,4FE9,20457
俪,4FEA,20458
俬,4FEC,20460
俭,4FED,20461
修,4FEE,20462
俯,4FEF,20463
俱,4FF1,20465
俳,4FF3,20467
俸,4FF8,20472
俺,4FFA,20474
俾,4FFE,20478
倀,5000,20480
倆,5006,20486
倉,5009,20489
個,500B,20491
倌,500C,20492
倍,500D,20493
倏,500F,20495
們,5011,20497
倒,5012,20498
倔,5014,20500
倘,5018,20504
候,5019,20505
倚,501A,20506
倜,501C,20508
借,501F,20511
倡,5021,20513
倥,5025,20517
倦,5026,20518
倨,5028,20520
倩,5029,20521
倪,502A,20522
倫,502B,20523
倬,502C,20524
倭,502D,20525
倮,502E,20526
债,503A,20538
值,503C,20540
倾,503E,20542
偃,5043,20547
偆,5046,20550
假,5047,20551
偈,5048,20552
偉,5049,20553
偌,504C,20556
偍,504D,20557
偎,504E,20558
偏,504F,20559
偐,5050,20560
偕,5055,20565
偖,5056,20566
做,505A,20570
停,505C,20572
偣,5063,20579
健,5065,20581
偬,506C,20588
偲,5072,20594
側,5074,20596
偵,5075,20597
偶,5076,20598
偷,5077,20599
偻,507B,20603
偾,507E,20606
偿,507F,20607
傀,5080,20608
傅,5085,20613
傈,5088,20616
傍,508D,20621
傕,5095,20629
傖,5096,20630
傘,5098,20632
備,5099,20633
傚,509A,20634
傝,509D,20637
傣,50A3,20643
傥,50A5,20645
傧,50A7,20647
储,50A8,20648
傩,50A9,20649
催,50AC,20652
傭,50AD,20653
傲,50B2,20658
傳,50B3,20659
傴,50B4,20660
債,50B5,20661
傷,50B7,20663
傺,50BA,20666
傻,50BB,20667
傾,50BE,20670
僂,50C2,20674
僅,50C5,20677
僉,50C9,20681
像,50CF,20687
僑,50D1,20689
僕,50D5,20693
僖,50D6,20694
僚,50DA,20698
僞,50DE,20702
僥,50E5,20709
僦,50E6,20710
僧,50E7,20711
僨,50E8,20712
僬,50EC,20716
僭,50ED,20717
僮,50EE,20718
僳,50F3,20723
僵,50F5,20725
價,50F9,20729
僻,50FB,20731
僾,50FE,20734
儀,5100,20736
儂,5102,20738
億,5104,20740
儆,5106,20742
儇,5107,20743
儈,5108,20744
儉,5109,20745
儋,510B,20747
儍,510D,20749
儐,5110,20752
儒,5112,20754
儔,5114,20756
儕,5115,20757
儚,511A,20762
償,511F,20767
儡,5121,20769
優,512A,20778
儲,5132,20786
儷,5137,20791
儺,513A,20794
儻,513B,20795
儼,513C,20796
儿,513F,20799
兀,5140,20800
允,5141,20801
元,5143,20803
兄,5144,20804
充,5145,20805
兆,5146,20806
先,5148,20808
光,5149,20809
克,514B,20811
免,514D,20813
児,5150,20816
兑,5151,20817
兒,5152,20818
兔,5154,20820
兕,5155,20821
兖,5156,20822
党,515A,20826
兜,515C,20828
兢,5162,20834
入,5165,20837
全,5168,20840
兩,5169,20841
八,516B,20843
公,516C,20844
六,516D,20845
兮,516E,20846
兰,5170,20848
共,5171,20849
兲,5172,20850
关,5173,20851
兴,5174,20852
兵,5175,20853
其,5176,20854
具,5177,20855
典,5178,20856
兹,5179,20857
养,517B,20859
兼,517C,20860
兽,517D,20861
冀,5180,20864
冁,5181,20865
冂,5182,20866
冄,5184,20868
内,5185,20869
冇,5187,20871
冈,5188,20872
冉,5189,20873
册,518C,20876
再,518D,20877
冒,5192,20882
冕,5195,20885
冖,5196,20886
冗,5197,20887
写,5199,20889
军,519B,20891
农,519C,20892
冠,51A0,20896
冢,51A2,20898
冤,51A4,20900
冥,51A5,20901
冫,51AB,20907
冬,51AC,20908
冯,51AF,20911
冰,51B0,20912
冱,51B1,20913
冲,51B2,20914
决,51B3,20915
冴,51B4,20916
况,51B5,20917
冶,51B6,20918
冷,51B7,20919
冻,51BB,20923
冼,51BC,20924
冽,51BD,20925
净,51C0,20928
凄,51C4,20932
准,51C6,20934
凇,51C7,20935
凉,51C9,20937
凋,51CB,20939
凌,51CC,20940
凍,51CD,20941
减,51CF,20943
凑,51D1,20945
凛,51DB,20955
凝,51DD,20957
几,51E0,20960
凡,51E1,20961
