han,name,hex,dec
吖,1,5416,21526
啊,2,554A,21834
哎,3,54CE,21710
哀,4,54C0,21696
埃,5,57C3,22467
挨,6,6328,25384
唉,7,5509,21769
欸,8,6B38,27448
捱,9,6371,25457
啀,10,5540,21824
嘊,11,560A,22026
敳,12,6573,25971
皚,13,769A,30362
毐,14,6BD0,27600
矮,15,77EE,30702
噯,16,566F,22127
濭,17,6FED,28653
藹,18,85F9,34297
靄,19,9744,38724
艾,20,827E,33406
㤅,21,3905,14597
侅,22,4F85,20357
隘,23,9698,38552
愛,24,611B,24859
閡,25,95A1,38305
僾,26,50FE,20734
壒,27,58D2,22738
鴱,28,9D31,40241
薆,29,8586,34182
嬡,30,5B21,23329
璦,31,74A6,29862
𣜬,32,2372C,145196
𣋞,33,232DE,144094
曖,34,66D6,26326
餲,35,9932,39218
懝,36,61DD,25053
瞹,37,77B9,30649
馤,38,99A4,39332
礙,39,7919,31001
譺,40,8B7A,35706
靉,41,9749,38729
安,42,5B89,23433
菴,43,83F4,33780
庵,44,5EB5,24245
啽,45,557D,21885
媕,46,5A95,23189
㛺,47,36FA,14074
腤,48,8164,33124
痷,49,75F7,30199
鞍,50,978D,38797
鞌,51,978C,38796
盦,52,76E6,30438
諳,53,8AF3,35571
馣,54,99A3,39331
鮟,55,9B9F,39839
鵪,56,9D6A,40298
韽,57,97FD,38909
埯,58,57EF,22511
唵,59,5535,21813
揞,60,63DE,25566
罯,61,7F6F,32623
犴,62,72B4,29364
岸,63,5CB8,23736
按,64,6309,25353
洝,65,6D1D,27933
桉,66,6849,26697
豻,67,8C7B,35963
案,68,6848,26696
婩,69,5A69,23145
晻,70,667B,26235
遃,71,9043,36931
暗,72,6697,26263
儑,73,5111,20753
闇,74,95C7,38343
䬓,75,4B13,19219
𩹎,76,29E4E,171598
黯,77,9EEF,40687
𪒠,78,2A4A0,173216
卬,79,536C,21356
昂,80,6602,26114
㭿,81,3B7F,15231
䩕,82,4A55,19029
𡵙,83,21D59,138585
枊,84,678A,26506
㼜,85,3F1C,16156
盎,86,76CE,30414
醠,87,91A0,37280
凹,88,51F9,20985
㕭,89,356D,13677
𤏶,90,243F6,148470
䫜,91,4ADC,19164
爊,92,720A,29194
𪃨,93,2A0E8,172264
敖,94,6556,25942
隞,95,969E,38558
嶅,96,5D85,23941
遨,97,9068,36968
嗷,98,55F7,22007
獓,99,7353,29523
廒,100,5ED2,24274
滶,101,6EF6,28406
璈,102,7488,29832
獒,103,7352,29522
摮,104,646E,25710
熬,105,71AC,29100
磝,106,78DD,30941
聱,107,8071,32881
螯,108,87AF,34735
翱,109,7FF1,32753
謷,110,8B37,35639
謸,111,8B38,35640
𩪋,112,29A8B,170635
鏖,113,93D6,37846
鷔,114,9DD4,40404
鰲,115,9C32,39986
䥝,116,495D,18781
鼇,117,9F07,40711
芺,118,82BA,33466
拗,119,62D7,25303
袄,120,8884,34948
镺,121,957A,38266
媼,122,5ABC,23228
襖,123,8956,35158
坳,124,5773,22387
奡,125,5961,22881
傲,126,50B2,20658
奧,127,5967,22887
慠,128,6160,24928
墺,129,58BA,22714
𡒃,130,21483,136323
嶴,131,5DB4,23988
懊,132,61CA,25034
鏊,133,93CA,37834
驁,134,9A41,39489
𩼈,135,29F08,171784
八,136,516B,20843
巴,137,5DF4,24052
叭,138,53ED,21485
朳,139,6733,26419
芭,140,82AD,33453
吧,141,5427,21543
岜,142,5C9C,23708
疤,143,75A4,30116
捌,144,634C,25420
蚆,145,8686,34438
哵,146,54F5,21749
笆,147,7B06,31494
羓,148,7F93,32659
粑,149,7C91,31889
豝,150,8C5D,35933
𩡩,151,29869,170089
鈀,152,9200,37376
䶕,153,4D95,19861
犮,154,72AE,29358
㧊,155,39CA,14794
坺,156,577A,22394
拔,157,62D4,25300
茇,158,8307,33543
𢇷,159,221F7,139767
妭,160,59AD,22957
胈,161,80C8,32968
癹,162,7679,30329
菝,163,83DD,33757
軷,164,8EF7,36599
跋,165,8DCB,36299
魃,166,9B43,39747
䮂,167,4B82,19330
鼥,168,9F25,40741
把,169,628A,25226
弝,170,5F1D,24349
爸,171,7238,29240
𥝧,172,25767,153447
耙,173,8019,32793
垻,174,57BB,22459
跁,175,8DC1,36289
靶,176,9776,38774
罷,177,7F77,32631
矲,178,77F2,30706
䆉,179,4189,16777
䎱,180,43B1,17329
霸,181,9738,38712
壩,182,58E9,22761
灞,183,705E,28766
欛,184,6B1B,27419
㓦,185,34E6,13542
掰,186,63B0,25520
白,187,767D,30333
百,188,767E,30334
佰,189,4F70,20336
柏,190,67CF,26575
捭,191,636D,25453
擺,192,64FA,25850
扒,193,6252,25170
拜,194,62DC,25308
唄,195,5504,21764
敗,196,6557,25943
猈,197,7308,29448
稗,198,7A17,31255
粺,199,7CBA,31930
韛,200,97DB,38875
攽,201,653D,25917
朌,202,670C,26380
班,203,73ED,29677
斑,204,6591,26001
搬,205,642C,25644
頒,206,9812,38930
斒,207,6592,26002
瘢,208,7622,30242
螌,209,878C,34700
癍,210,764D,30285
辬,211,8FAC,36780
䰉,212,4C09,19465
阪,213,962A,38442
坂,214,5742,22338
板,215,677F,26495
瓪,216,74EA,29930
昄,217,6604,26116
版,218,7248,29256
粄,219,7C84,31876
鈑,220,9211,37393
䬳,221,4B33,19251
蝂,222,8742,34626
魬,223,9B6C,39788
半,224,534A,21322
扮,225,626E,25198
𠯘,226,20BD8,134104
伴,227,4F34,20276
姅,228,59C5,22981
湴,229,6E74,28276
絆,230,7D46,32070
靽,231,977D,38781
辦,232,8FA6,36774
瓣,233,74E3,29923
邦,234,90A6,37030
帮,235,5E2E,24110
垹,236,57B9,22457
梆,237,6886,26758
浜,238,6D5C,27996
幫,239,5E6B,24171
綁,240,7D81,32129
榜,241,699C,27036
牓,242,7253,29267
玤,243,73A4,29604
蚌,244,868C,34444
棒,245,68D2,26834
棓,246,68D3,26835
硥,247,7865,30821
蒡,248,84A1,33953
徬,249,5FAC,24492
䰷,250,4C37,19511
謗,251,8B17,35607
勹,252,52F9,21241
包,253,5305,21253
苞,254,82DE,33502
𡶄,255,21D84,138628
孢,256,5B62,23394
㚿,257,36BF,14015
胞,258,80DE,32990
褒,259,8912,35090
齙,260,9F59,40793
仢,261,4EE2,20194
雹,262,96F9,38649
䈏,263,420F,16911
懪,264,61EA,25066
𦢊,265,2688A,157834
保,266,4FDD,20445
堢,267,5822,22562
葆,268,8446,33862
堡,269,5821,22561
飽,270,98FD,39165
駂,271,99C2,39362
褓,272,8913,35091
鴇,273,9D07,40199
寶,274,5BF6,23542
抱,275,62B1,25265
豹,276,8C79,35961
菢,277,83E2,33762
袌,278,888C,34956
報,279,5831,22577
鉋,280,924B,37451
靤,281,9764,38756
骲,282,9AB2,39602
暴,283,66B4,26292
虣,284,8663,34403
鮑,285,9B91,39825
儤,286,5124,20772
瀑,287,7011,28689
爆,288,7206,29190
陂,289,9642,38466
杯,290,676F,26479
卑,291,5351,21329
柸,292,67F8,26616
盃,293,76C3,30403
桮,294,686E,26734
悲,295,60B2,24754
碑,296,7891,30865
鵯,297,9D6F,40303
襬,298,896C,35180
䥯,299,496F,18799
北,300,5317,21271
孛,301,5B5B,23387
邶,302,90B6,37046
貝,303,8C9D,35997
㸬,304,3E2C,15916
背,305,80CC,32972
倍,306,500D,20493
狽,307,72FD,29437
悖,308,6096,24726
被,309,88AB,34987
菩,310,83E9,33769
梖,311,6896,26774
㫲,312,3AF2,15090
偝,313,505D,20573
㔨,314,3528,13608
琲,315,7432,29746
備,316,5099,20633
焙,317,7119,28953
蓓,318,84D3,34003
碚,319,789A,30874
鞁,320,9781,38785
𣖾,321,235BE,144830
骳,322,9AB3,39603
誖,323,8A96,35478
褙,324,8919,35097
輩,325,8F29,36649
䰽,326,4C3D,19517
憊,327,618A,24970
糒,328,7CD2,31954
㶔,329,3D94,15764
奔,330,5954,22868
倴,331,5034,20532
犇,332,7287,29319
錛,333,931B,37659
本,334,672C,26412
苯,335,82EF,33519
畚,336,755A,30042
体,337,4F53,20307
坌,338,574C,22348
𢪘,339,22A98,141976
笨,340,7B28,31528
渀,341,6E00,28160
伻,342,4F3B,20283
祊,343,794A,31050
崩,344,5D29,23849
閍,345,958D,38285
絣,346,7D63,32099
嗙,347,55D9,21977
繃,348,7E43,32323
埄,349,57C4,22468
菶,350,83F6,33782
唪,351,552A,21802
琫,352,742B,29739
琣,353,7423,29731
𦂌,354,2608C,155788
䩬,355,4A6C,19052
迸,356,8FF8,36856
埲,357,57F2,22514
堋,358,580B,22539
跰,359,8DF0,36336
甏,360,750F,29967
畐,361,7550,30032
偪,362,506A,20586
逼,363,903C,36924
楅,364,6945,26949
豍,365,8C4D,35917
䠋,366,480B,18443
鵖,367,9D56,40278
鎞,368,939E,37790
荸,369,8378,33656
鼻,370,9F3B,40763
匕,371,5315,21269
比,372,6BD4,27604
吡,373,5421,21537
佊,374,4F4A,20298
疕,375,7595,30101
沘,376,6C98,27800
𠛡,377,206E1,132833
妣,378,59A3,22947
彼,379,5F7C,24444
柀,380,67C0,26560
秕,381,79D5,31189
俾,382,4FFE,20478
舭,383,822D,33325
粃,384,7C83,31875
啚,385,555A,21850
筆,386,7B46,31558
鄙,387,9119,37145
箄,388,7B84,31620
貏,389,8C8F,35983
㻶,390,3EF6,16118
必,391,5FC5,24517
㘩,392,3629,13865
坒,393,5752,22354
佖,394,4F56,20310
𤜻,395,2473B,149307
庇,396,5E87,24199
邲,397,90B2,37042
𨚓,398,28693,165523
㧙,399,39D9,14809
苾,400,82FE,33534
畀,401,7540,30016
泌,402,6CCC,27852
怭,403,602D,24621
珌,404,73CC,29644
柲,405,67F2,26610
毖,406,6BD6,27606
胇,407,80C7,32967
𢘍,408,2260D,140813
陛,409,965B,38491
畢,410,7562,30050
狴,411,72F4,29428
𦱔,412,26C54,158804
梐,413,6890,26768
閉,414,9589,38281
䏶,415,43F6,17398
庳,416,5EB3,24243
敝,417,655D,25949
婢,418,5A62,23138
堛,419,581B,22555
賁,420,8CC1,36033
皕,421,7695,30357
貱,422,8CB1,36017
詖,423,8A56,35414
湢,424,6E62,28258
愊,425,610A,24842
愎,426,610E,24846
弼,427,5F3C,24380
蓽,428,84FD,34045
蓖,429,84D6,34006
閟,430,959F,38303
蜌,431,870C,34572
嗶,432,55F6,22006
鉍,433,924D,37453
飶,434,98F6,39158
腷,435,8177,33143
痹,436,75F9,30201
煏,437,714F,29007
滭,438,6EED,28397
裨,439,88E8,35048
彃,440,5F43,24387
碧,441,78A7,30887
蔽,442,853D,34109
馝,443,999D,39325
箅,444,7B85,31621
獙,445,7359,29529
弊,446,5F0A,24330
幣,447,5E63,24163
熚,448,719A,29082
鄪,449,912A,37162
䪐,450,4A90,19088
綼,451,7DBC,32188
髲,452,9AF2,39666
駜,453,99DC,39388
罼,454,7F7C,32636
𥻅,455,25EC5,155333
獘,456,7358,29528
潷,457,6F77,28535
薜,458,859C,34204
觱,459,89F1,35313
螕,460,8795,34709
篳,461,7BF3,31731
篦,462,7BE6,31718
鮅,463,9B85,39813
廦,464,5EE6,24294
鴓,465,9D13,40211
壁,466,58C1,22721
避,467,907F,36991
嬖,468,5B16,23318
縪,469,7E2A,32298
䟆,470,47C6,18374
蹕,471,8E55,36437
髀,472,9AC0,39616
斃,473,6583,25987
臂,474,81C2,33218
奰,475,5970,22896
饆,476,9946,39238
鄨,477,9128,37160
璧,478,74A7,29863
鞸,479,97B8,38840
襣,480,8963,35171
襞,481,895E,35166
繴,482,7E74,32372
韠,483,97E0,38880
䌟,484,431F,17183
躃,485,8E83,36483
躄,486,8E84,36484
贔,487,8D14,36116
鸊,488,9E0A,40458
鼊,489,9F0A,40714
砭,490,782D,30765
萹,491,8439,33849
猵,492,7335,29493
牑,493,7251,29265
甂,494,7502,29954
蝙,495,8759,34649
箯,496,7BAF,31663
編,497,7DE8,32232
鞭,498,97AD,38829
邊,499,908A,37002
鯿,500,9BFF,39935
籩,501,7C69,31849
窆,502,7A86,31366
扁,503,6241,25153
匾,504,533E,21310
貶,505,8CB6,36022
碥,506,78A5,30885
褊,507,890A,35082
鴘,508,9D18,40216
藊,509,85CA,34250
𧸘,510,27E18,163352
卞,511,535E,21342
弁,512,5F01,24321
抃,513,6283,25219
釆,514,91C6,37318
汳,515,6C73,27763
汴,516,6C74,27764
忭,517,5FED,24557
𨚕,518,28695,165525
拚,519,62DA,25306
