han,hex,dec
一,4E00,19968
乙,4E59,20057
二,4E8C,20108
十,5341,21313
丁,4E01,19969
厂,5382,21378
七,4E03,19971
卜,535C,21340
八,516B,20843
人,4EBA,20154
入,5165,20837
儿,513F,20799
匕,5315,21269
几,51E0,20960
九,4E5D,20061
刁,5201,20993
了,4E86,20102
刀,5200,20992
力,529B,21147
乃,4E43,20035
又,53C8,21448
三,4E09,19977
干,5E72,24178
于,4E8E,20110
亏,4E8F,20111
工,5DE5,24037
土,571F,22303
士,58EB,22763
才,624D,25165
下,4E0B,19979
寸,5BF8,23544
大,5927,22823
丈,4E08,19976
与,4E0E,19982
万,4E07,19975
上,4E0A,19978
小,5C0F,23567
口,53E3,21475
山,5C71,23665
巾,5DFE,24062
千,5343,21315
乞,4E5E,20062
川,5DDD,24029
亿,4EBF,20159
个,4E2A,20010
夕,5915,22805
久,4E45,20037
么,4E48,20040
勺,52FA,21242
凡,51E1,20961
丸,4E38,20024
及,53CA,21450
广,5E7F,24191
亡,4EA1,20129
门,95E8,38376
丫,4E2B,20011
义,4E49,20041
之,4E4B,20043
尸,5C38,23608
己,5DF1,24049
已,5DF2,24050
巳,5DF3,24051
弓,5F13,24339
子,5B50,23376
卫,536B,21355
也,4E5F,20063
女,5973,22899
刃,5203,20995
飞,98DE,39134
习,4E60,20064
叉,53C9,21449
马,9A6C,39532
乡,4E61,20065
丰,4E30,20016
王,738B,29579
开,5F00,24320
井,4E95,20117
天,5929,22825
夫,592B,22827
元,5143,20803
无,65E0,26080
云,4E91,20113
专,4E13,19987
丐,4E10,19984
扎,624E,25166
艺,827A,33402
木,6728,26408
五,4E94,20116
支,652F,25903
厅,5385,21381
不,4E0D,19981
犬,72AC,29356
太,592A,22826
区,533A,21306
历,5386,21382
歹,6B79,27513
友,53CB,21451
尤,5C24,23588
匹,5339,21305
车,8F66,36710
巨,5DE8,24040
牙,7259,29273
屯,5C6F,23663
戈,6208,25096
比,6BD4,27604
互,4E92,20114
切,5207,20999
瓦,74E6,29926
止,6B62,27490
少,5C11,23569
曰,66F0,26352
日,65E5,26085
中,4E2D,20013
贝,8D1D,36125
冈,5188,20872
内,5185,20869
水,6C34,27700
见,89C1,35265
午,5348,21320
牛,725B,29275
手,624B,25163
气,6C14,27668
毛,6BDB,27611
壬,58EC,22764
升,5347,21319
夭,592D,22829
长,957F,38271
仁,4EC1,20161
什,4EC0,20160
片,7247,29255
仆,4EC6,20166
化,5316,21270
仇,4EC7,20167
币,5E01,24065
仍,4ECD,20173
仅,4EC5,20165
斤,65A4,26020
爪,722A,29226
反,53CD,21453
介,4ECB,20171
父,7236,29238
从,4ECE,20174
仑,4ED1,20177
今,4ECA,20170
凶,51F6,20982
分,5206,20998
乏,4E4F,20047
公,516C,20844
仓,4ED3,20179
月,6708,26376
氏,6C0F,27663
勿,52FF,21247
欠,6B20,27424
风,98CE,39118
丹,4E39,20025
匀,5300,21248
乌,4E4C,20044
勾,52FE,21246
凤,51E4,20964
六,516D,20845
文,6587,25991
亢,4EA2,20130
方,65B9,26041
火,706B,28779
为,4E3A,20026
斗,6597,26007
忆,5FC6,24518
计,8BA1,35745
订,8BA2,35746
户,6237,25143
认,8BA4,35748
冗,5197,20887
讥,8BA5,35749
心,5FC3,24515
尺,5C3A,23610
引,5F15,24341
丑,4E11,19985
巴,5DF4,24052
孔,5B54,23380
队,961F,38431
办,529E,21150
以,4EE5,20197
允,5141,20801
予,4E88,20104
邓,9093,37011
劝,529D,21149
双,53CC,21452
书,4E66,20070
幻,5E7B,24187
玉,7389,29577
刊,520A,21002
未,672A,26410
末,672B,26411
示,793A,31034
击,51FB,20987
打,6253,25171
巧,5DE7,24039
正,6B63,27491
扑,6251,25169
卉,5349,21321
扒,6252,25170
功,529F,21151
扔,6254,25172
去,53BB,21435
甘,7518,29976
世,4E16,19990
艾,827E,33406
古,53E4,21476
节,8282,33410
本,672C,26412
术,672F,26415
可,53EF,21487
丙,4E19,19993
左,5DE6,24038
厉,5389,21385
石,77F3,30707
右,53F3,21491
布,5E03,24067
夯,592F,22831
戊,620A,25098
龙,9F99,40857
平,5E73,24179
灭,706D,28781
轧,8F67,36711
东,4E1C,19996
卡,5361,21345
北,5317,21271
占,5360,21344
凸,51F8,20984
卢,5362,21346
业,4E1A,19994
旧,65E7,26087
帅,5E05,24069
归,5F52,24402
旦,65E6,26086
目,76EE,30446
且,4E14,19988
叶,53F6,21494
甲,7532,30002
申,7533,30003
叮,53EE,21486
电,7535,30005
号,53F7,21495
田,7530,30000
由,7531,30001
只,53EA,21482
叭,53ED,21485
史,53F2,21490
央,592E,22830
兄,5144,20804
叽,53FD,21501
叼,53FC,21500
叫,53EB,21483
叩,53E9,21481
叨,53E8,21480
另,53E6,21478
叹,53F9,21497
冉,5189,20873
皿,76BF,30399
凹,51F9,20985
囚,56DA,22234
四,56DB,22235
生,751F,29983
矢,77E2,30690
失,5931,22833
乍,4E4D,20045
禾,79BE,31166
丘,4E18,19992
付,4ED8,20184
仗,4ED7,20183
代,4EE3,20195
仙,4ED9,20185
们,4EEC,20204
仪,4EEA,20202
白,767D,30333
仔,4ED4,20180
他,4ED6,20182
斥,65A5,26021
瓜,74DC,29916
乎,4E4E,20046
丛,4E1B,19995
令,4EE4,20196
用,7528,29992
甩,7529,29993
印,5370,21360
尔,5C14,23572
乐,4E50,20048
句,53E5,21477
匆,5306,21254
册,518C,20876
卯,536F,21359
犯,72AF,29359
外,5916,22806
处,5904,22788
冬,51AC,20908
鸟,9E1F,40479
务,52A1,21153
包,5305,21253
饥,9965,39269
主,4E3B,20027
市,5E02,24066
立,7ACB,31435
冯,51AF,20911
玄,7384,29572
闪,95EA,38378
兰,5170,20848
半,534A,21322
汁,6C41,27713
汇,6C47,27719
头,5934,22836
汉,6C49,27721
宁,5B81,23425
穴,7A74,31348
它,5B83,23427
讨,8BA8,35752
写,5199,20889
让,8BA9,35753
礼,793C,31036
训,8BAD,35757
议,8BAE,35758
必,5FC5,24517
讯,8BAF,35759
记,8BB0,35760
永,6C38,27704
司,53F8,21496
尼,5C3C,23612
民,6C11,27665
弗,5F17,24343
弘,5F18,24344
出,51FA,20986
辽,8FBD,36797
奶,5976,22902
奴,5974,22900
召,53EC,21484
加,52A0,21152
皮,76AE,30382
边,8FB9,36793
孕,5B55,23381
发,53D1,21457
圣,5723,22307
对,5BF9,23545
台,53F0,21488
矛,77DB,30683
纠,7EA0,32416
母,6BCD,27597
幼,5E7C,24188
丝,4E1D,19997
邦,90A6,37030
式,5F0F,24335
迂,8FC2,36802
刑,5211,21009
戎,620E,25102
动,52A8,21160
扛,625B,25179
寺,5BFA,23546
吉,5409,21513
扣,6263,25187
考,8003,32771
托,6258,25176
老,8001,32769
巩,5DE9,24041
圾,573E,22334
执,6267,25191
扩,6269,25193
扫,626B,25195
地,5730,22320
场,573A,22330
扬,626C,25196
耳,8033,32819
芋,828B,33419
共,5171,20849
芒,8292,33426
亚,4E9A,20122
芝,829D,33437
朽,673D,26429
朴,6734,26420
机,673A,26426
权,6743,26435
过,8FC7,36807
臣,81E3,33251
吏,540F,21519
再,518D,20877
协,534F,21327
西,897F,35199
压,538B,21387
厌,538C,21388
戌,620C,25100
在,5728,22312
百,767E,30334
有,6709,26377
存,5B58,23384
而,800C,32780
页,9875,39029
匠,5320,21280
夸,5938,22840
夺,593A,22842
灰,7070,28784
达,8FBE,36798
列,5217,21015
死,6B7B,27515
成,6210,25104
夹,5939,22841
夷,5937,22839
轨,8F68,36712
邪,90AA,37034
尧,5C27,23591
划,5212,21010
迈,8FC8,36808
毕,6BD5,27605
至,81F3,33267
此,6B64,27492
贞,8D1E,36126
师,5E08,24072
尘,5C18,23576
尖,5C16,23574
劣,52A3,21155
光,5149,20809
当,5F53,24403
早,65E9,26089
吁,5401,21505
吐,5410,21520
吓,5413,21523
虫,866B,34411
曲,66F2,26354
团,56E2,22242
吕,5415,21525
同,540C,21516
吊,540A,21514
吃,5403,21507
因,56E0,22240
吸,5438,21560
吗,5417,21527
吆,5406,21510
屿,5C7F,23679
屹,5C79,23673
岁,5C81,23681
帆,5E06,24070
回,56DE,22238
岂,5C82,23682
则,5219,21017
刚,521A,21018
网,7F51,32593
肉,8089,32905
年,5E74,24180
朱,6731,26417
先,5148,20808
丢,4E22,20002
廷,5EF7,24311
舌,820C,33292
竹,7AF9,31481
迁,8FC1,36801
乔,4E54,20052
迄,8FC4,36804
伟,4F1F,20255
传,4F20,20256
乒,4E52,20050
乓,4E53,20051
休,4F11,20241
伍,4F0D,20237
伏,4F0F,20239
优,4F18,20248
臼,81FC,33276
伐,4F10,20240
延,5EF6,24310
仲,4EF2,20210
件,4EF6,20214
任,4EFB,20219
伤,4F24,20260
价,4EF7,20215
伦,4F26,20262
份,4EFD,20221
华,534E,21326
仰,4EF0,20208
仿,4EFF,20223
伙,4F19,20249
伪,4F2A,20266
自,81EA,33258
伊,4F0A,20234
血,8840,34880
向,5411,21521
似,4F3C,20284
后,540E,21518
行,884C,34892
舟,821F,33311
全,5168,20840
会,4F1A,20250
杀,6740,26432
合,5408,21512
兆,5146,20806
企,4F01,20225
众,4F17,20247
爷,7237,29239
伞,4F1E,20254
创,521B,21019
肌,808C,32908
肋,808B,32907
朵,6735,26421
杂,6742,26434
危,5371,21361
旬,65EC,26092
旨,65E8,26088
旭,65ED,26093
负,8D1F,36127
匈,5308,21256
名,540D,21517
各,5404,21508
多,591A,22810
争,4E89,20105
色,8272,33394
壮,58EE,22766
冲,51B2,20914
妆,5986,22918
冰,51B0,20912
庄,5E84,24196
庆,5E86,24198
亦,4EA6,20134
刘,5218,21016
齐,9F50,40784
交,4EA4,20132
衣,8863,34915
次,6B21,27425
产,4EA7,20135
决,51B3,20915
亥,4EA5,20133
充,5145,20805
妄,5984,22916
闭,95ED,38381
问,95EE,38382
闯,95EF,38383
羊,7F8A,32650
并,5E76,24182
关,5173,20851
米,7C73,31859
灯,706F,28783
州,5DDE,24030
汗,6C57,27735
污,6C61,27745
江,6C5F,27743
汛,6C5B,27739
池,6C60,27744
汝,6C5D,27741
汤,6C64,27748
忙,5FD9,24537
兴,5174,20852
宇,5B87,23431
守,5B88,23432
宅,5B85,23429
字,5B57,23383
安,5B89,23433
讲,8BB2,35762
讳,8BB3,35763
军,519B,20891
讶,8BB6,35766
许,8BB8,35768
讹,8BB9,35769
论,8BBA,35770
讼,8BBC,35772
农,519C,20892
