han,hex,dec
阿,963F,38463
啊,554A,21834
哎,54CE,21710
哀,54C0,21696
唉,5509,21769
埃,57C3,22467
挨,6328,25384
癌,764C,30284
矮,77EE,30702
艾,827E,33406
爱,7231,29233
碍,788D,30861
安,5B89,23433
氨,6C28,27688
俺,4FFA,20474
岸,5CB8,23736
按,6309,25353
案,6848,26696
暗,6697,26263
昂,6602,26114
凹,51F9,20985
熬,71AC,29100
傲,50B2,20658
奥,5965,22885
澳,6FB3,28595
八,516B,20843
巴,5DF4,24052
叭,53ED,21485
吧,5427,21543
拔,62D4,25300
把,628A,25226
坝,575D,22365
爸,7238,29240
罢,7F62,32610
霸,9738,38712
白,767D,30333
百,767E,30334
柏,67CF,26575
摆,6446,25670
败,8D25,36133
拜,62DC,25308
班,73ED,29677
般,822C,33324
颁,9881,39041
斑,6591,26001
搬,642C,25644
板,677F,26495
版,7248,29256
办,529E,21150
半,534A,21322
伴,4F34,20276
扮,626E,25198
瓣,74E3,29923
邦,90A6,37030
帮,5E2E,24110
膀,8180,33152
傍,508D,20621
棒,68D2,26834
包,5305,21253
胞,80DE,32990
宝,5B9D,23453
饱,9971,39281
保,4FDD,20445
堡,5821,22561
报,62A5,25253
抱,62B1,25265
豹,8C79,35961
暴,66B4,26292
爆,7206,29190
卑,5351,21329
杯,676F,26479
悲,60B2,24754
碑,7891,30865
北,5317,21271
贝,8D1D,36125
备,5907,22791
背,80CC,32972
倍,500D,20493
被,88AB,34987
辈,8F88,36744
奔,5954,22868
本,672C,26412
崩,5D29,23849
逼,903C,36924
鼻,9F3B,40763
比,6BD4,27604
彼,5F7C,24444
笔,7B14,31508
币,5E01,24065
必,5FC5,24517
毕,6BD5,27605
闭,95ED,38381
辟,8F9F,36767
碧,78A7,30887
蔽,853D,34109
壁,58C1,22721
避,907F,36991
臂,81C2,33218
边,8FB9,36793
编,7F16,32534
蝙,8759,34649
鞭,97AD,38829
扁,6241,25153
便,4FBF,20415
变,53D8,21464
遍,904D,36941
辨,8FA8,36776
辩,8FA9,36777
标,6807,26631
表,8868,34920
别,522B,21035
宾,5BBE,23486
滨,6EE8,28392
冰,51B0,20912
兵,5175,20853
丙,4E19,19993
柄,67C4,26564
饼,997C,39292
并,5E76,24182
病,75C5,30149
拨,62E8,25320
波,6CE2,27874
玻,73BB,29627
剥,5265,21093
播,64AD,25773
脖,8116,33046
伯,4F2F,20271
驳,9A73,39539
泊,6CCA,27850
勃,52C3,21187
博,535A,21338
搏,640F,25615
膊,818A,33162
薄,8584,34180
卜,535C,21340
补,8865,34917
捕,6355,25429
不,4E0D,19981
布,5E03,24067
步,6B65,27493
部,90E8,37096
擦,64E6,25830
猜,731C,29468
才,624D,25165
材,6750,26448
财,8D22,36130
裁,88C1,35009
采,91C7,37319
彩,5F69,24425
踩,8E29,36393
菜,83DC,33756
蔡,8521,34081
参,53C2,21442
餐,9910,39184
残,6B8B,27531
蚕,8695,34453
惨,60E8,24808
灿,707F,28799
仓,4ED3,20179
苍,82CD,33485
舱,8231,33329
藏,85CF,34255
操,64CD,25805
曹,66F9,26361
槽,69FD,27133
草,8349,33609
册,518C,20876
侧,4FA7,20391
测,6D4B,27979
策,7B56,31574
层,5C42,23618
叉,53C9,21449
插,63D2,25554
查,67E5,26597
茶,8336,33590
察,5BDF,23519
差,5DEE,24046
拆,62C6,25286
柴,67F4,26612
缠,7F20,32544
产,4EA7,20135
阐,9610,38416
颤,98A4,39076
昌,660C,26124
长,957F,38271
肠,80A0,32928
尝,5C1D,23581
偿,507F,20607
常,5E38,24120
厂,5382,21378
场,573A,22330
畅,7545,30021
倡,5021,20513
唱,5531,21809
抄,6284,25220
超,8D85,36229
巢,5DE2,24034
朝,671D,26397
潮,6F6E,28526
吵,5435,21557
炒,7092,28818
车,8F66,36710
扯,626F,25199
彻,5F7B,24443
撤,64A4,25764
尘,5C18,23576
臣,81E3,33251
沉,6C89,27785
陈,9648,38472
闯,95EF,38383
衬,886C,34924
称,79F0,31216
趁,8D81,36225
撑,6491,25745
成,6210,25104
呈,5448,21576
承,627F,25215
诚,8BDA,35802
城,57CE,22478
乘,4E58,20056
惩,60E9,24809
程,7A0B,31243
橙,6A59,27225
吃,5403,21507
池,6C60,27744
驰,9A70,39536
迟,8FDF,36831
持,6301,25345
匙,5319,21273
尺,5C3A,23610
齿,9F7F,40831
斥,65A5,26021
赤,8D64,36196
翅,7FC5,32709
充,5145,20805
冲,51B2,20914
虫,866B,34411
崇,5D07,23815
抽,62BD,25277
仇,4EC7,20167
绸,7EF8,32504
愁,6101,24833
筹,7B79,31609
酬,916C,37228
丑,4E11,19985
瞅,7785,30597
臭,81ED,33261
出,51FA,20986
初,521D,21021
除,9664,38500
厨,53A8,21416
础,7840,30784
储,50A8,20648
楚,695A,26970
处,5904,22788
触,89E6,35302
川,5DDD,24029
穿,7A7F,31359
传,4F20,20256
船,8239,33337
喘,5598,21912
串,4E32,20018
窗,7A97,31383
床,5E8A,24202
晨,6668,26216
创,521B,21019
吹,5439,21561
垂,5782,22402
锤,9524,38180
春,6625,26149
纯,7EAF,32431
唇,5507,21767
醇,9187,37255
词,8BCD,35789
瓷,74F7,29943
慈,6148,24904
辞,8F9E,36766
磁,78C1,30913
雌,96CC,38604
此,6B64,27492
次,6B21,27425
刺,523A,21050
从,4ECE,20174
匆,5306,21254
葱,8471,33905
聪,806A,32874
丛,4E1B,19995
凑,51D1,20945
粗,7C97,31895
促,4FC3,20419
催,50AC,20652
脆,8106,33030
翠,7FE0,32736
村,6751,26449
存,5B58,23384
寸,5BF8,23544
措,63AA,25514
错,9519,38169
搭,642D,25645
达,8FBE,36798
答,7B54,31572
打,6253,25171
大,5927,22823
呆,5446,21574
代,4EE3,20195
带,5E26,24102
待,5F85,24453
袋,888B,34955
逮,902E,36910
戴,6234,25140
丹,4E39,20025
单,5355,21333
担,62C5,25285
胆,80C6,32966
旦,65E6,26086
但,4F46,20294
诞,8BDE,35806
弹,5F39,24377
淡,6DE1,28129
蛋,86CB,34507
氮,6C2E,27694
当,5F53,24403
挡,6321,25377
党,515A,20826
荡,8361,33633
刀,5200,20992
导,5BFC,23548
岛,5C9B,23707
倒,5012,20498
蹈,8E48,36424
到,5230,21040
盗,76D7,30423
道,9053,36947
稻,7A3B,31291
得,5F97,24471
德,5FB7,24503
的,7684,30340
灯,706F,28783
登,767B,30331
等,7B49,31561
邓,9093,37011
凳,51F3,20979
瞪,77AA,30634
低,4F4E,20302
堤,5824,22564
滴,6EF4,28404
迪,8FEA,36842
敌,654C,25932
笛,7B1B,31515
底,5E95,24213
抵,62B5,25269
地,5730,22320
弟,5F1F,24351
帝,5E1D,24093
递,9012,36882
第,7B2C,31532
颠,98A0,39072
典,5178,20856
点,70B9,28857
电,7535,30005
店,5E97,24215
垫,57AB,22443
淀,6DC0,28096
殿,6BBF,27583
雕,96D5,38613
吊,540A,21514
钓,9493,38035
调,8C03,35843
掉,6389,25481
爹,7239,29241
跌,8DCC,36300
叠,53E0,21472
蝶,8776,34678
丁,4E01,19969
叮,53EE,21486
盯,76EF,30447
钉,9489,38025
顶,9876,39030
订,8BA2,35746
定,5B9A,23450
丢,4E22,20002
东,4E1C,19996
冬,51AC,20908
懂,61C2,25026
动,52A8,21160
冻,51BB,20923
洞,6D1E,27934
都,90FD,37117
斗,6597,26007
抖,6296,25238
陡,9661,38497
豆,8C46,35910
督,7763,30563
毒,6BD2,27602
读,8BFB,35835
