han,hex,dec
〇,3007,12295
㐵,3435,13365
㑀,3440,13376
㑊,344A,13386
㑌,344C,13388
㑤,3464,13412
㑳,3473,13427
㑺,347A,13434
㑽,347D,13437
㑾,347E,13438
㒓,3493,13459
㒖,3496,13462
㒥,34A5,13477
㒯,34AF,13487
㒼,34BC,13500
㓁,34C1,13505
㓈,34C8,13512
㓟,34DF,13535
㓤,34E4,13540
㓦,34E6,13542
㓻,34FB,13563
㔆,3506,13574
㔾,353E,13630
㕑,3551,13649
㕓,3553,13651
㕙,3559,13657
㕡,3561,13665
㕭,356D,13677
㕰,3570,13680
㕲,3572,13682
㕷,3577,13687
㕸,3578,13688
㖄,3584,13700
㖗,3597,13719
㖘,3598,13720
㖡,35A1,13729
㖥,35A5,13733
㖭,35AD,13741
㖿,35BF,13759
㗁,35C1,13761
㗅,35C5,13765
㗇,35C7,13767
㗊,35CA,13770
㗎,35CE,13774
㗒,35D2,13778
㗖,35D6,13782
㗛,35DB,13787
㗝,35DD,13789
㗱,35F1,13809
㗲,35F2,13810
㗳,35F3,13811
㗻,35FB,13819
㗾,35FE,13822
㘉,3609,13833
㘘,3618,13848
㘚,361A,13850
㘣,3623,13859
㘥,3625,13861
㘭,362D,13869
㘵,3635,13877
㘹,3639,13881
㘾,363E,13886
㙇,3647,13895
㙈,3648,13896
㙉,3649,13897
㙎,364E,13902
㙟,365F,13919
㙡,3661,13921
㙺,367A,13946
㚁,3681,13953
㚚,369A,13978
㚥,36A5,13989
㚪,36AA,13994
㚬,36AC,13996
㚰,36B0,14000
㚱,36B1,14001
㚵,36B5,14005
㚹,36B9,14009
㚼,36BC,14012
㛁,36C1,14017
㛃,36C3,14019
㛄,36C4,14020
㛅,36C5,14021
㛇,36C7,14023
㛈,36C8,14024
㛓,36D3,14035
㛔,36D4,14036
㛖,36D6,14038
㛝,36DD,14045
㛡,36E1,14049
㛢,36E2,14050
㛥,36E5,14053
㛦,36E6,14054
㛵,36F5,14069
㜁,3701,14081
㜃,3703,14083
㜈,3708,14088
㜊,370A,14090
㜍,370D,14093
㜜,371C,14108
㜢,3722,14114
㜣,3723,14115
㜥,3725,14117
㜬,372C,14124
㜭,372D,14125
㜰,3730,14128
㜲,3732,14130
㜳,3733,14131
㜺,373A,14138
㝀,3740,14144
㝃,3743,14147
㝢,3762,14178
㝯,376F,14191
㞗,3797,14231
㞠,37A0,14240
㞹,37B9,14265
㞾,37BE,14270
㟖,37D6,14294
㟲,37F2,14322
㟸,37F8,14328
㟻,37FB,14331
㠏,380F,14351
㠙,3819,14361
㠠,3820,14368
㠭,382D,14381
㠶,3836,14390
㠸,3838,14392
㡣,3863,14435
㡵,3875,14453
㢠,38A0,14496
㣃,38C3,14531
㣌,38CC,14540
㣑,38D1,14545
㣔,38D4,14548
㣺,38FA,14586
㤈,3908,14600
㤔,3914,14612
㤧,3927,14631
㤲,3932,14642
㤿,393F,14655
㥍,394D,14669
㥣,3963,14691
㥸,3978,14712
㦀,3980,14720
㦉,3989,14729
㦊,398A,14730
㦒,3992,14738
㦙,3999,14745
㦛,399B,14747
㦡,39A1,14753
㦤,39A4,14756
㦸,39B8,14776
㧜,39DC,14812
㧢,39E2,14818
㧥,39E5,14821
㧬,39EC,14828
㧸,39F8,14840
㧻,39FB,14843
㧾,39FE,14846
㨁,3A01,14849
㨃,3A03,14851
㨆,3A06,14854
㨗,3A17,14871
㨘,3A18,14872
㨩,3A29,14889
㨪,3A2A,14890
㨴,3A34,14900
㩋,3A4B,14923
㩒,3A52,14930
㩗,3A57,14935
㩜,3A5C,14940
㩞,3A5E,14942
㩦,3A66,14950
㩧,3A67,14951
㪗,3A97,14999
㪫,3AAB,15019
㪽,3ABD,15037
㫞,3ADE,15070
㫠,3AE0,15072
㫰,3AF0,15088
㫲,3AF2,15090
㫵,3AF5,15093
㫻,3AFB,15099
㬎,3B0E,15118
㬙,3B19,15129
㬢,3B22,15138
㬫,3B2B,15147
㬹,3B39,15161
㭂,3B42,15170
㭘,3B58,15192
㭠,3B60,15200
㭱,3B71,15217
㭲,3B72,15218
㭻,3B7B,15227
㭼,3B7C,15228
㮀,3B80,15232
㮕,3B95,15253
㮖,3B96,15254
㮙,3B99,15257
㮡,3BA1,15265
㮼,3BBC,15292
㮾,3BBE,15294
㯂,3BC2,15298
㯄,3BC4,15300
㯗,3BD7,15319
㯝,3BDD,15325
㯬,3BEC,15340
㯲,3BF2,15346
㯳,3BF3,15347
㯴,3BF4,15348
㰍,3C0D,15373
㰑,3C11,15377
㰕,3C15,15381
㰘,3C18,15384
㱔,3C54,15444
㲋,3C8B,15499
㳋,3CCB,15563
㳍,3CCD,15565
㳑,3CD1,15569
㳖,3CD6,15574
㳜,3CDC,15580
㳫,3CEB,15595
㳯,3CEF,15599
㴒,3D12,15634
㴓,3D13,15635
㴲,3D32,15666
㴻,3D3B,15675
㵆,3D46,15686
㵌,3D4C,15692
㵎,3D4E,15694
㵑,3D51,15697
㵟,3D5F,15711
㵢,3D62,15714
㵩,3D69,15721
㵪,3D6A,15722
㵯,3D6F,15727
㵵,3D75,15733
㵽,3D7D,15741
㶅,3D85,15749
㶈,3D88,15752
㶊,3D8A,15754
㶏,3D8F,15759
㶑,3D91,15761
㶥,3DA5,15781
㶭,3DAD,15789
㶴,3DB4,15796
㶿,3DBF,15807
㷆,3DC6,15814
㷇,3DC7,15815
㷉,3DC9,15817
㷌,3DCC,15820
㷍,3DCD,15821
㷓,3DD3,15827
㷛,3DDB,15835
㷧,3DE7,15847
㷨,3DE8,15848
㷫,3DEB,15851
㷳,3DF3,15859
㷴,3DF4,15860
㷷,3DF7,15863
㷼,3DFC,15868
㷽,3DFD,15869
㸆,3E06,15878
㹀,3E40,15936
㹃,3E43,15939
㹈,3E48,15944
㹕,3E55,15957
㹴,3E74,15988
㺨,3EA8,16040
㺩,3EA9,16041
㺪,3EAA,16042
㺭,3EAD,16045
㺱,3EB1,16049
㺸,3EB8,16056
㺿,3EBF,16063
㻂,3EC2,16066
㻇,3EC7,16071
㻊,3ECA,16074
㻌,3ECC,16076
㻐,3ED0,16080
㻑,3ED1,16081
㻖,3ED6,16086
㻗,3ED7,16087
㻚,3EDA,16090
㻛,3EDB,16091
㻞,3EDE,16094
㻡,3EE1,16097
㻢,3EE2,16098
㻧,3EE7,16103
㻩,3EE9,16105
㻫,3EEB,16107
㻬,3EEC,16108
㻰,3EF0,16112
㻳,3EF3,16115
