han,hex,dec
㓤,34E4,13540
㖭,35AD,13741
㗎,35CE,13774
㗾,35FE,13822
㨘,3A18,14872
㷫,3DEB,15851
䁪,406A,16490
䱽,4C7D,19581
両,4E21,20001
乸,4E78,20088
亘,4E98,20120
円,5186,20870
冚,519A,20890
冧,51A7,20903
劏,528F,21135
叁,53C1,21441
叶,53F6,21494
吓,5413,21523
吔,5414,21524
吖,5416,21526
咗,5497,21655
哋,54CB,21707
响,54CD,21709
唓,5513,21779
唞,551E,21790
啩,5569,21865
啫,556B,21867
啱,5571,21873
啲,5572,21874
喺,55BA,21946
喼,55BC,21948
嗰,55F0,22000
嗱,55F1,22001
嘅,5605,22021
嘞,561E,22046
嘢,5622,22050
嘥,5625,22053
嘭,562D,22061
噃,5643,22083
噏,564F,22095
嚟,569F,22175
嚿,56BF,22207
坂,5742,22338
埗,57D7,22487
堃,5803,22531
嫲,5AF2,23282
孭,5B6D,23405
怱,6031,24625
拃,62C3,25283
掹,63B9,25529
揞,63DE,25566
揸,63F8,25592
揼,63FC,25596
搲,6432,25650
摱,6471,25713
擝,64DD,25821
攞,651E,25886
攰,6530,25904
曱,66F1,26353
杧,6767,26471
梘,6898,26776
氹,6C39,27705
燶,71F6,29174
甴,7534,30004
疱,75B1,30129
癦,7666,30310
着,7740,30528
瞓,7793,30611
矋,77CB,30667
祢,7962,31074
糉,7CC9,31945
糍,7CCD,31949
脷,8137,33079
膶,81B6,33206
菓,83D3,33747
蔴,8534,34100
螆,8786,34694
裇,88C7,35015
踎,8E0E,36366
踭,8E2D,36397
躀,8E80,36480
軚,8EDA,36570
邨,90A8,37032
鈪,922A,37418
餸,9938,39224
鰂,9C02,39938
鱲,9C72,40050
𠝹,20779,132985
𠱁,20C41,134209
𠺝,20E9D,134813
𠺢,20EA2,134818
𡃁,210C1,135361
𢭃,22B43,142147
𢯊,22BCA,142282
𢱕,22C55,142421
𢵌,22D4C,142668
𤓓,244D3,148691
𤷪,24DEA,151018
𥄫,2512B,151851
𦟌,267CC,157644
𦧺,269FA,158202
𨅝,2815D,164189
𨋢,282E2,164578
𩶘,29D98,171416
㩒,3A52,14930
㬹,3B39,15161
冲,51B2,20914
凭,51ED,20973
効,52B9,21177
厠,53A0,21408
厦,53A6,21414
厨,53A8,21416
啓,5553,21843
宝,5B9D,23453
峯,5CEF,23791
廸,5EF8,24312
廼,5EFC,24316
强,5F3A,24378
担,62C5,25285
擧,64E7,25831
枱,67B1,26545
栢,6822,26658
櫈,6AC8,27336
沢,6CA2,27810
滙,6ED9,28377
烟,70DF,28895
牀,7240,29248
珏,73CF,29647
琼,743C,29756
画,753B,30011
疴,75B4,30132
窰,7AB0,31408
糭,7CED,31981
綉,7D89,32137
綫,7DAB,32171
羣,7FA3,32675
肶,80B6,32950
胆,80C6,32966
舘,8218,33304
葱,8471,33905
衞,885E,34910
譌,8B4C,35660
踪,8E2A,36394
迹,8FF9,36857
鈎,920E,37390
鉄,9244,37444
鎅,9385,37765
隣,96A3,38563
鷄,9DC4,40388
麪,9EAA,40618
𠻹,20EF9,134905
𡁻,2107B,135291
〇,3007,12295
㖡,35A1,13729
㖿,35BF,13759
㧬,39EC,14828
㹴,3E74,15988
乪,4E6A,20074
凪,51EA,20970
吡,5421,21537
呍,544D,21581
咓,5493,21651
咲,54B2,21682
唂,5502,21762
啝,555D,21853
嗗,55D7,21975
嗞,55DE,21982
噍,564D,22093
嚡,56A1,22177
埞,57DE,22494
慤,6164,24932
抦,62A6,25254
揦,63E6,25574
浜,6D5C,27996
瀞,701E,28702
煀,7140,28992
煊,714A,29002
猪,732A,29482
猫,732B,29483
獁,7341,29505
獴,7374,29556
畑,7551,30033
睺,777A,30586
笹,7B39,31545
羗,7F97,32663
肽,80BD,32957
脲,8132,33074
芦,82A6,33446
芪,82AA,33450
苷,82F7,33527
蟎,87CE,34766
蠄,8804,34820
蹾,8E7E,36478
辻,8FBB,36795
込,8FBC,36796
酶,9176,37238
鈈,9208,37384
鑛,945B,37979
閪,95AA,38314
鮋,9B8B,39819
鯭,9BED,39917
麯,9EAF,40623
𠱸,20C78,134264
𠲖,20C96,134294
𠳏,20CCF,134351
𠵱,20D71,134513
𠶧,20DA7,134567
𠹶,20E76,134774
𠺘,20E98,134808
𠼭,20F2D,134957
𠽌,20F4C,134988
𠿪,20FEA,135146
𡁜,2105C,135260
𡃶,210F6,135414
𡅅,21145,135493
𢃇,220C7,139463
𢱢,22C62,142434
𢳂,22CC2,142530
𢵧,22D67,142695
𣲷,23CB7,146615
𤶸,24DB8,150968
𤺧,24EA7,151207
𥅈,25148,151880
𥹉,25E49,155209
𦉘,26258,156248
𦧲,269F2,158194
𨳊,28CCA,167114
𨳍,28CCD,167117
𨳒,28CD2,167122
𨶙,28D99,167321
𩓥,294E5,169189
从,4ECE,20174
偸,5078,20600
僞,50DE,20702
兪,516A,20842
冴,51B4,20916
况,51B5,20917
凉,51C9,20937
双,53CC,21452
叙,53D9,21465
叠,53E0,21472
呪,546A,21610
咏,548F,21647
咤,54A4,21668
喆,5586,21894
喩,55A9,21929
塡,5861,22625
塩,5869,22633
姸,59F8,23032
婾,5A7E,23166
嶋,5D8B,23947
巓,5DD3,24019
幺,5E7A,24186
廻,5EFB,24315
愠,6120,24864
愼,613C,24892
揾,63FE,25598
携,643A,25658
撑,6491,25745
敍,654D,25933
敎,654E,25934
査,67FB,26619
楡,6961,26977
氲,6C32,27698
温,6E29,28201
煕,7155,29013
爲,7232,29234
甙,7519,29977
瘂,7602,30210
眞,771E,30494
睘,7758,30552
硏,784F,30799
脇,8107,33031
脗,8117,33047
腭,816D,33133
藴,85F4,34292
贋,8D0B,36107
醖,9196,37270
鎭,93AD,37805
鐧,9427,37927
靑,9751,38737
顚,985A,39002
鮎,9B8E,39822
鵞,9D5E,40286
鼈,9F08,40712
𡥼,2197C,137596
𢱑,22C51,142417
𧨾,27A3E,162366
𨈇,28207,164359
㓟,34DF,13535
㘭,362D,13869
㜺,373A,14138
㧾,39FE,14846
㩗,3A57,14935
㩧,3A67,14951
㷛,3DDB,15835
㿭,3FED,16365
㿺,3FFA,16378
䃟,40DF,16607
䏡,43E1,17377
䏲,43F2,17394
䓛,44DB,17627
䓝,44DD,17629
䓪,44EA,17642
