han,hex,dec
𪜱,2A731,173873
𪽇,2AF47,175943
𬒀,2C480,181376
𫒇,2B487,177287
𪻳,2AEF3,175859
𪼓,2AF13,175891
𪻵,2AEF5,175861
𬋋,2C2CB,180939
𫌴,2B334,176948
𫂐,2B090,176272
𪦴,2A9B4,174516
𬞆,2C786,182150
𫁢,2B062,176226
𫲐,2BC90,179344
𬫃,2CAC3,182979
𪷫,2ADEB,175595
𫏜,2B3DC,177116
𫀗,2B017,176151
𪝼,2A77C,173948
𪵥,2AD65,175461
𪬬,2AB2C,174892
𫺢,2BEA2,179874
𬰚,2CC1A,183322
𬊧,2C2A7,180903
𬊏,2C28F,180879
𬎆,2C386,181126
𬮍,2CB8D,183181
𭶙,2DD99,187801
𭓞,2D4DE,185566
𬤹,2C939,182585
𮡀,2E840,190528
𭏜,2D3DC,185308
𮫸,2EAF8,191224
𮬒,2EB12,191250
𮅠,2E160,188768
𮌥,2E325,189221
𭪂,2DA82,187010
𭇴,2D1F4,184820
𭺷,2DEB7,188087
𮊦,2E2A6,189094
𬽺,2CF7A,184186
𬌲,2C332,181042
𬄾,2C13E,180542
𬍳,2C373,181107
𬔻,2C53B,181563
𬁆,2C046,180294
𬐨,2C428,181288
𫰋,2BC0B,179211
𬳧,2CCE7,183527
𭲻,2DCBB,187579
𫯜,2BBDC,179164
𫦪,2B9AA,178602
𬀲,2C032,180274
𮐠,2E420,189472
𬉷,2C277,180855
𬯋,2CBCB,183243
𬊕,2C295,180885
𬁝,2C05D,180317
𬗋,2C5CB,181707
𬓥,2C4E5,181477
𫨨,2BA28,178728
𬠸,2C838,182328
𬈹,2C239,180793
𮢆,2E886,190598
𮆞,2E19E,188830
𫤪,2B92A,178474
𬇣,2C1E3,180707
𫩠,2BA60,178784
𫣲,2B8F2,178418
𡊐,21290,135824
𬟓,2C7D3,182227
𭨉,2DA09,186889
𭜅,2D705,186117
𫲄,2BC84,179332
𫾻,2BFBB,180155
𫵷,2BD77,179575
𬍰,2C370,181104
𬇞,2C1DE,180702
𬒔,2C494,181396
𬮼,2CBBC,183228
𬒰,2C4B0,181424
𬏺,2C3FA,181242
𬍂,2C342,181058
𬱃,2CC43,183363
𭒨,2D4A8,185512
𭈮,2D22E,184878
𭇒,2D1D2,184786
鿽,9FFD,40957
𪛞,2A6DE,173790
鿿,9FFF,40959
𪛟,2A6DF,173791
鿾,9FFE,40958
